committee,side,labor,side_orig,labor_orig,changed,change_detail,entity_type,level,jurisdiction,is_conduit,confidence,evidence,source_url,proposed_by,reviewed,n_gifts,dollars,sources
LAVINE FOR GOOD GOVERNMENT,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Charles Lavine is a Democrat who has represented District 13 in the New York State Assembly since 2005 and this is his campaign committee.,https://ballotpedia.org/Charles_Lavine,web-research-2026-08-08,yes,1058,276923,nyboe
FRIENDS OF DAN PANICO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Brookhaven, NY",FALSE,high,Dan Panico is the Republican elected Town of Brookhaven Supervisor in 2023 after serving as councilman for the 6th Council District and deputy supervisor.,https://tbrnewsmedia.com/clayman-and-panico-tee-off-for-brookhaven-town-supervisor/,web-research-2026-08-08,yes,1059,275996,nyboe
NORTH HEMPSTEAD REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of North Hempstead, NY",FALSE,high,The name identifies it as the official Republican Party town committee for the Town of North Hempstead in Nassau County.,,web-research-2026-08-08,yes,1082,275911,nyboe
LALOTA FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,New York's 1st Congressional District,FALSE,high,Nick LaLota is a Republican serving since 2023 as US representative for New York's 1st congressional district in Suffolk County,https://en.wikipedia.org/wiki/Nick_LaLota,web-research-2026-08-08,yes,560,272528,fec
NEW YORKERS FOR A BRIGHTER FUTURE,,FALSE,,FALSE,no,,other,state,New York State,FALSE,low,Repeated searches of news archives and campaign-finance aggregators returned no record identifying the sponsor or candidate behind this NY BOE filer and the NYSBOE public reporting site was unreachable,,web-research-2026-08-08,yes,3547,271308,nyboe
NRCC,REP,FALSE,,FALSE,yes,side:blank->REP,party_committee,federal,United States,FALSE,high,NRCC is the FEC filer name of the National Republican Congressional Committee the GOP national party committee for US House races,https://en.wikipedia.org/wiki/National_Republican_Congressional_Committee,web-research-2026-08-08,yes,4133,269080,fec
MEDICAL SOCIETY OF THE STATE OF NEW YORK POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,high,MSSNY is a professional association of roughly 20000 licensed New York physicians so its PAC is a trade association PAC not a labor union and it funds legislators of both parties,https://en.wikipedia.org/wiki/Medical_Society_of_the_State_of_New_York,web-research-2026-08-08,yes,1432,268710,nyboe
DESENA FOR NORTH HEMPSTEAD,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of North Hempstead, NY",FALSE,high,Jennifer DeSena is a registered Democrat who won the North Hempstead Supervisor seat in 2021 running on the Republican and Conservative ballot lines as the first Republican-backed winner in three decades.,https://en.wikipedia.org/wiki/Jennifer_DeSena,web-research-2026-08-08,yes,639,265709,nyboe
JOSH LAFAZAN FOR RESPONSIBLE GOVERNMENT,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,medium,Josh Lafazan is a registered Democrat who served in the Nassau County Legislature and placed third in the 2022 Democratic primary for New York's 3rd congressional district although he also took Conservative Party ballot lines.,https://en.wikipedia.org/wiki/Josh_Lafazan,web-research-2026-08-08,yes,647,263732,nyboe
FRIENDS OF TOULON,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Errol Toulon Jr. is the Suffolk County Sheriff first elected in 2017 and is identified as Toulon (D) in local election coverage,https://tbrnewsmedia.com/tag/errol-toulon/,web-research-2026-08-08,yes,900,262367,nyboe
JAMES FOR NY,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,JamesForNY.com is the official campaign site of Letitia James the Democratic Attorney General of New York,https://jamesforny.com/,web-research-2026-08-08,yes,1265,260852,nyboe
OYSTER BAY REPUBLICAN CLUB-COMMITTEEMEN'S COUNCIL,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Oyster Bay, NY",FALSE,medium,This is a New York registered Republican club committee of the Town of Oyster Bay Republican organization in Nassau County,https://www.transparencyusa.org/ny/committee/oyster-bay-republican-club-committeemens-council-80/contributors,web-research-2026-08-08,yes,1772,258284,nyboe
BELLONE 2011,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Steve Bellone is a Democrat elected Suffolk County Executive in 2011 after serving as Babylon Town Supervisor,https://suffolkcountydems.com/about-steve,web-research-2026-08-08,yes,743,256150,nyboe
CAMPAIGN FOR DEMOCRATIC LEGISLATURE,DEM,FALSE,DEM,FALSE,no,,party_committee,state,New York State,FALSE,medium,The name identifies it as a Democratic legislative campaign committee registered with the NY Board of Elections though the specific chamber it serves could not be confirmed.,https://elections.ny.gov/campaign-finance,web-research-2026-08-08,yes,1071,253774,nyboe
FRIENDS OF JOHN KENNEDY,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,medium,John M. Kennedy Jr. was elected Suffolk County Comptroller on the Republican ticket in 2014 and is the Long Island officeholder by that name filing with the NY Board of Elections.,https://en.wikipedia.org/wiki/John_M._Kennedy_Jr.,web-research-2026-08-08,yes,1106,247349,nyboe
ANNE DONNELLY FOR DISTRICT ATTORNEY,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Nassau County, NY",FALSE,high,Republican Anne Donnelly defeated Democrat Todd Kaminsky in the 2021 Nassau County District Attorney race,https://www.longislandpress.com/2021/11/02/republican-anne-donnelly-declares-victory-in-nassau-da-race/,web-research-2026-08-08,yes,515,244067,nyboe
SOUTHOLD GOP,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Southold, NY",FALSE,high,GOP in the committee name identifies it as the Republican committee for the Town of Southold on the North Fork of Suffolk County,,web-research-2026-08-08,yes,1657,243500,nyboe
GAUGHRAN FOR NEW YORK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,James Gaughran is the Democrat who won the New York State Senate 5th district seat in 2018 covering Huntington and Oyster Bay,https://ballotpedia.org/James_Gaughran,web-research-2026-08-08,yes,1382,239633,nyboe
FARMINGDALE REPUBLICAN COMMITTEE FRC,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of Farmingdale, NY",FALSE,medium,NY campaign finance records list this filer as the Farmingdale Republican Club FRC a local GOP club serving Farmingdale in the Town of Oyster Bay Nassau County.,https://www.transparencyusa.org/ny/committee/farmingdale-republican-club-frc-20507/contributors?cycle=2024-election-cycle,web-research-2026-08-08,yes,1140,238352,nyboe
TEAM KENNEDY,,FALSE,,FALSE,no,,candidate,federal,United States,FALSE,medium,Team Kennedy is FEC committee C00836916 the principal campaign committee of Robert F. Kennedy Jr. who left the 2024 Democratic presidential primary to run as an independent and later endorsed Trump so the donor base is not cleanly one side,https://www.fec.gov/data/committee/C00836916,web-research-2026-08-08,yes,1264,237736,fec
MONTANANS FOR TESTER,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Montana,FALSE,high,Jon Tester was the Democratic incumbent United States Senator from Montana who lost the 2024 general election to Republican Tim Sheehy,https://dbpedia.org/page/2024_United_States_Senate_election_in_Montana,web-research-2026-08-08,yes,2617,231085,fec
FRIENDS OF VINCENT DEMARCO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,medium,Vincent DeMarco served as Suffolk County Sheriff from 2006 to 2017 and RiverheadLOCAL describes him as a Conservative Party member who also ran with Democratic support so the Conservative fold puts him at REP,https://riverheadlocal.com/2017/10/15/race-suffolk-county-sheriff-score-one-democratic-process/,web-research-2026-08-08,yes,1417,230661,nyboe
NIKKI HALEY FOR PRESIDENT INC.,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Nikki Haley is a Republican who sought the 2024 Republican presidential nomination and suspended her campaign on March 6 2024.,https://en.wikipedia.org/wiki/Nikki_Haley,web-research-2026-08-08,yes,1054,229085,fec
FRIENDS OF MARK CUTHBERTSON,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"Town of Huntington, NY",FALSE,high,Mark Cuthbertson is a Democratic Huntington Town Councilman listed by the Suffolk County Democratic Committee and later led the Huntington Democrats,https://suffolkcountydems.com/candidate/mark-cuthbertson,web-research-2026-08-08,yes,744,223561,nyboe
TED CRUZ FOR SENATE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Texas,FALSE,high,Ted Cruz is the Republican United States Senator from Texas serving since 2013,https://dbpedia.org/page/Ted_Cruz,web-research-2026-08-08,yes,2636,217817,fec
LONG BEACH REPUBLICAN CITY COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"City of Long Beach, NY",FALSE,high,The name states it is the Republican Party city committee for Long Beach which is one of Nassau County's two cities and sits at the municipal level alongside the towns,,web-research-2026-08-08,yes,1330,215563,nyboe
FRIENDS OF JOHN VENDITTO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Oyster Bay, NY",FALSE,high,John Venditto served as Republican Town of Oyster Bay Supervisor from 1998 until resigning in 2017.,"https://www.liherald.com/stories/former-oyster-bay-supervisor-john-venditto-dies-of-cancer,123249",web-research-2026-08-08,yes,841,214485,nyboe
CITIZENS FOR HANNON,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Kemp Hannon was the Republican New York State Senator for the 6th district in Nassau County from 1989 to 2018,https://en.wikipedia.org/wiki/Kemp_Hannon,web-research-2026-08-08,yes,572,214400,nyboe
FRIENDS FOR KATE MURRAY,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Hempstead, NY",FALSE,high,Kate Murray is the Republican who served as Town of Hempstead Supervisor from 2004 to 2015 and later ran for Hempstead Town Clerk on the Republican and Conservative lines,https://en.wikipedia.org/wiki/Kate_Murray_(New_York_politician),web-research-2026-08-08,yes,695,212046,nyboe
GLEN COVE REPUBLICAN CITY COMM,REP,FALSE,REP,FALSE,no,,party_committee,town,"City of Glen Cove, NY",FALSE,high,The name identifies it as the Republican city committee for Glen Cove which is one of two cities in Nassau County and sits at the same municipal tier as a town.,,web-research-2026-08-08,yes,1018,211592,nyboe
NORTH HEMPSTEAD DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of North Hempstead, NY",FALSE,high,The name states it is the Democratic Party committee for the Town of North Hempstead in Nassau County.,,web-research-2026-08-08,yes,656,211205,nyboe
LAZIO 2010 INC.,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Rick Lazio is a Republican and former Long Island congressman who received the New York State Republican Party designation for governor in June 2010.,https://en.wikipedia.org/wiki/Rick_Lazio,web-research-2026-08-08,yes,602,207458,nyboe
WE WANT WAYNE WINK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,multi,"Nassau County, NY",FALSE,high,Wayne Wink Jr. is a Democrat who served in the New York State Assembly and as North Hempstead town clerk and ran as the Democratic candidate for Nassau County Comptroller in 2025.,https://www.longislandpress.com/2025/08/27/nassau-county-comptroller-candidate-wayne-h-wink-jr-democrat/,web-research-2026-08-08,yes,769,207269,nyboe
ELMONT NORTH REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Elmont, Town of Hempstead, NY",FALSE,high,Elmont is a hamlet in northwestern Town of Hempstead in Nassau County and this is a local Republican Party committee covering its northern election districts,"https://en.wikipedia.org/wiki/Elmont,_New_York",web-research-2026-08-08,yes,867,203272,nyboe
EAST HAMPTON TOWN DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of East Hampton, NY",FALSE,high,The name states it is the Democratic Party town committee for the Town of East Hampton in Suffolk County,,web-research-2026-08-08,yes,728,202957,nyboe
HUNTINGTON TOWN DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Huntington, NY",FALSE,high,The name states it is the official Democratic Party committee for the Town of Huntington in Suffolk County,,web-research-2026-08-08,yes,1538,201878,nyboe
FRIENDS OF ED SMYTH,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Huntington, Suffolk County, NY",FALSE,high,Ed Smyth (R) was elected Town of Huntington Supervisor in 2021 after serving as a Huntington councilman from 2017,https://tbrnewsmedia.com/tag/ed-smyth/,web-research-2026-08-08,yes,562,196156,nyboe
FRIENDS OF SHERROD BROWN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Ohio,FALSE,high,Sherrod Brown is a Democrat who served as United States Senator from Ohio from 2007 to 2025,https://dbpedia.org/page/Sherrod_Brown,web-research-2026-08-08,yes,2330,193363,fec
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,,TRUE,,FALSE,yes,labor:False->True,union_pac,federal,United States,FALSE,medium,NATCA is an AFL-CIO affiliated air traffic controllers labor union whose federal PAC targets aviation and appropriations committee members of both parties rather than one side,https://en.wikipedia.org/wiki/National_Air_Traffic_Controllers_Association,web-research-2026-08-08,yes,2083,192371,fec
NEW YORK ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,medium,NYAPAC is the PAC of the New York State Society of Anesthesiologists which is a physicians professional society rather than a union and it gives to Albany incumbents of both parties,https://www.transparencyusa.org/ny/committee/new-york-anesthesiologists-pac-nyapac-1587/contributors?cycle=2022-election-cycle,web-research-2026-08-08,yes,1540,192006,nyboe
FRIENDS OF SENATOR JACK MARTINS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Jack Martins is the Republican New York State Senator for the 7th District in Nassau County,https://ballotpedia.org/Jack_Martins,web-research-2026-08-08,yes,529,191198,nyboe
FRIENDS OF ED RA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Ed Ra is the Republican Assemblymember for New York's 19th Assembly District in Nassau County and was elected Assembly minority leader in February 2026,https://en.wikipedia.org/wiki/Edward_Ra,web-research-2026-08-08,yes,925,189701,nyboe
FRIENDS OF JOHN FERRETTI,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,multi,"Nassau County and Town of Hempstead, NY",FALSE,high,John Ferretti Jr. was Republican Nassau County Legislator for District 15 in Levittown and won the November 2025 election for Town of Hempstead Supervisor as a Republican,https://patch.com/new-york/gardencity/ferretti-declared-winner-hempstead-town-supervisor-election,web-research-2026-08-08,yes,533,188005,nyboe
FRIENDS OF CARL L. MARCELLINO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Carl L. Marcellino was the Republican New York State Senator for the 5th district from 1995 to 2018 and later Town of Oyster Bay Clerk,"https://www.liherald.com/stories/carl-marcellino-former-state-senator-and-town-of-oyster-bay-cler-dead-at-83,220549",web-research-2026-08-08,yes,677,184460,nyboe
THE FRIENDS OF SUSAN A BERLAND,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,multi,"Suffolk County, NY",FALSE,high,Susan Berland is a Democrat who served as Huntington Town Councilwoman and Suffolk County Legislator for the 16th District and ran as the Democratic candidate for New York's 2nd Senate District.,https://suffolkcountydems.com/content/susan-berland-new-yorks-2nd-senate-district,web-research-2026-08-08,yes,995,182050,nyboe
MASSAPEQUA PARK REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of Massapequa Park, NY",FALSE,high,The name states it is a Republican Party committee and Massapequa Park is an incorporated village in the Town of Oyster Bay in Nassau County,,web-research-2026-08-08,yes,1400,181168,nyboe
KIM KEISERMAN FOR STATE SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Kim Keiserman of Port Washington won the Democratic primary for New York State Senate District 7 in Nassau County.,https://theisland360.com/featured/keiserman-wins-democratic-primary-for-new-york-state-senate-district-7/,web-research-2026-08-08,yes,1101,177885,nyboe
FRIENDS OF KEVIN THOMAS FOR SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Kevin Thomas is a Democrat who represented New York State Senate District 6 in Nassau County until January 2025.,https://ballotpedia.org/Kevin_Thomas_(New_York),web-research-2026-08-08,yes,656,177740,nyboe
FRIENDS OF JOHN FLANAGAN,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,John J. Flanagan is a Republican who represented New York's 2nd State Senate district on Long Island and served as Senate Majority Leader from 2015 to 2019.,https://en.wikipedia.org/wiki/John_J._Flanagan,web-research-2026-08-08,yes,606,176325,nyboe
SOUTHAMPTON TOWN DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Southampton, NY",FALSE,high,The name states it is the official Democratic Party committee for the Town of Southampton in Suffolk County,,web-research-2026-08-08,yes,1471,175706,nyboe
SEAFORD REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,town,"Seaford, Town of Hempstead, NY",FALSE,high,Seaford is a hamlet in the Town of Hempstead in Nassau County and this is its local Republican Party club,"https://en.wikipedia.org/wiki/Seaford,_New_York",web-research-2026-08-08,yes,967,171314,nyboe
NORTH MERRICK REPUBLICAN PARTY,REP,FALSE,REP,FALSE,no,,party_committee,town,"North Merrick, Town of Hempstead, NY",FALSE,high,North Merrick is a hamlet in the Town of Hempstead in Nassau County and this is its local Republican Party committee,"https://en.wikipedia.org/wiki/North_Merrick,_New_York",web-research-2026-08-08,yes,961,170033,nyboe
CITIZENS COMMITTEE TO RE-ELECT SENATOR KEN LAVALLE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Kenneth LaValle was the Republican New York State Senator for District 1 in eastern Suffolk County from 1977 until 2021.,https://ballotpedia.org/Kenneth_LaValle,web-research-2026-08-08,yes,760,166581,nyboe
FRIENDS OF NEIL FOLEY,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Brookhaven, NY",FALSE,high,Neil Foley is the Republican Brookhaven Town Council member for District 5 covering Blue Point and Patchogue,https://messengerpapers.com/2023/11/councilman-neil-foley-for-brookhaven-town-council-district-five/,web-research-2026-08-08,yes,859,165415,nyboe
FRIENDS OF PHIL NOLAN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"Town of Islip, Suffolk County, NY",FALSE,high,Phil Nolan became Islip Town's first Democratic supervisor in four decades when he won in 2007,https://longisland.news12.com/nolan-becomes-islip-towns-first-democratic-supervisor-in-four-decades-34768933,web-research-2026-08-08,yes,580,161040,nyboe
PLUMBERS LOCAL UNION NO1 NYC POLITICAL ACTION COMMITTEE,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,state,New York State,FALSE,high,This is the PAC of UA Plumbers Local Union No 1 a building trades labor union and its itemized giving goes to Democrats such as Rangel for Congress and National Security Democrats PAC,https://projects.propublica.org/itemizer/committee/C00327478/2024,web-research-2026-08-08,yes,6228,159177,nyboe
FRIENDS OF ROSE WALKER,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Nassau County, NY",FALSE,high,Rose Marie Walker is a Republican who has represented the 17th District of the Nassau County Legislature since being elected in November 2009.,https://patch.com/new-york/hicksville/nassau-county-legislature-candidates-meet-rose-marie-walker,web-research-2026-08-08,yes,1076,159095,nyboe
SMITHTOWN REPUBLICAN VICTORY FUND,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Smithtown, NY",FALSE,high,The name identifies it as the Republican Party victory fund for the Town of Smithtown in Suffolk County.,,web-research-2026-08-08,yes,1125,157974,nyboe
ELISSA SLOTKIN FOR MICHIGAN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,United States,FALSE,high,Elissa Slotkin is a Democrat who won the 2024 U.S. Senate race in Michigan and took office January 3 2025.,https://en.wikipedia.org/wiki/Elissa_Slotkin,web-research-2026-08-08,yes,997,156451,fec
SYOSSET WOODBURY REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Oyster Bay, NY",FALSE,high,The committee's own name identifies it as the Republican Party organization for Syosset and Woodbury which are hamlets in the Town of Oyster Bay in Nassau County.,,web-research-2026-08-08,yes,815,155709,nyboe
COLIN ALLRED FOR SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Texas,FALSE,high,Colin Allred is a Democrat and former U.S. Representative from Texas who was the Democratic nominee in the 2024 Texas U.S. Senate election,https://dbpedia.org/data/Colin_Allred.json,web-research-2026-08-08,yes,2108,153908,fec
LAWPAC OF NEW YORK,,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,medium,LawPAC is the political action committee of the New York State Trial Lawyers Association a professional/trade association and reporting on its Albany spending finds the money goes to Republicans and Democrats in both chambers.,https://www.newyorkpersonalinjuryattorneysblog.com/new_york_personal_injury_attor_5/,web-research-2026-08-08,yes,1225,152113,nyboe
SOUTHAMPTON TOWN REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Southampton, NY",FALSE,high,The committee's own name identifies it as the Republican Party town committee for Southampton in Suffolk County.,,web-research-2026-08-08,yes,756,143824,nyboe
FRIENDS OF KATE MURRAY,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Hempstead, NY",FALSE,high,Kate Murray is the Republican Town of Hempstead Town Clerk and served as the Republican Town Supervisor from 2003 to 2015.,"https://en.wikipedia.org/wiki/Hempstead_(town),_New_York",web-research-2026-08-08,yes,661,143087,nyboe
BROOKHAVEN TOWN REPUBLICAN PRE-PRIMARY COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Brookhaven, NY",FALSE,high,The committee's own name identifies it as the Republican Party organization for the Town of Brookhaven in Suffolk County.,,web-research-2026-08-08,yes,837,142230,nyboe
ROSEN FOR NEVADA,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,United States,FALSE,high,Jacky Rosen is a Democratic U.S. Senator from Nevada who took office January 3 2019 and was reelected in 2024.,https://ballotpedia.org/Jacky_Rosen,web-research-2026-08-08,yes,1242,141392,fec
FRIENDS OF CHRIS J. COSCHIGNANO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,multi,"Town of Oyster Bay and Nassau County, NY",FALSE,high,Chris Coschignano was a Town of Oyster Bay councilman whose seat the Oyster Bay Republican Party filled when he did not seek reelection and he is now a Nassau County Family Court judge,https://www.massapequapost.com/?s=Coschignano,web-research-2026-08-08,yes,486,138291,nyboe
FRIENDS OF REGGIE SPINELLO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"City of Glen Cove, NY",FALSE,high,Reggie Spinello won the Glen Cove mayoralty as a Republican in 2013 and ran again in 2019 on the Republican and Conservative lines with Nassau County Republican Committee backing.,"https://www.liherald.com/stories/former-glen-cove-mayor-enters-bid-to-reclaim-his-seat,112263",web-research-2026-08-08,yes,838,138145,nyboe
JAMES FOR NY 2026,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,medium,James for NY 2026 is a registered New York committee and Letitia James is the Democratic Attorney General of New York seeking re-election in the 2026 statewide race,https://dbpedia.org/page/Letitia_James,web-research-2026-08-08,yes,3362,136664,nyboe
LONG BEACH DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"City of Long Beach, Nassau County, NY",FALSE,high,Name states it is the Democratic Party committee for the City of Long Beach in Nassau County,,web-research-2026-08-08,yes,518,136379,nyboe
NORTH SHORE REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,town,"North Shore, Long Island, NY",FALSE,medium,Name identifies it as a local Republican Party club on Long Island's North Shore though the Nassau GOP club roster does not pin it to a single town,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,538,134410,nyboe
EMILYS LIST,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,EMILY's List exclusively funds female Democratic candidates who support abortion rights.,https://en.wikipedia.org/wiki/EMILY's_List,web-research-2026-08-08,yes,809,134119,fec
METLIFE INC. EMPLOYEES' POLITICAL PARTICIPATION FUND A,,FALSE,,FALSE,no,,corporate_pac,multi,United States,FALSE,high,This is FEC committee C00040923 the employee funded corporate PAC of insurer MetLife Inc which reports giving to candidates of both parties in its annual political activities reports,https://www.fec.gov/data/committee/C00040923/,web-research-2026-08-08,yes,2117,131200,nyboe
FRIENDS OF TOM CROCI,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Thomas Croci is a Republican who was elected Islip Town Supervisor in 2011 and represented New York State Senate District 3 from 2015 to 2018.,https://en.wikipedia.org/wiki/Thomas_Croci,web-research-2026-08-08,yes,648,129810,nyboe
MASSAPEQUA SOUTH REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Oyster Bay, NY",FALSE,high,The Massapequa South Republican Club is listed as an official Nassau County GOP local club in the Town of Oyster Bay,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,724,129235,nyboe
INWOOD - NORTH LAWRENCE REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,Nassau County GOP lists Inwood and Lawrence Republican clubs and both Inwood and North Lawrence are hamlets in the Town of Hempstead,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,703,129134,nyboe
GALLEGO FOR ARIZONA,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Arizona,FALSE,high,Ruben Gallego is the Democrat who beat Kari Lake in the November 2024 Arizona US Senate election,https://en.wikipedia.org/wiki/Ruben_Gallego,web-research-2026-08-08,yes,1319,128825,fec
BAYVILLE-CENTRE ISLAND REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,village,"Villages of Bayville and Centre Island, Nassau County, NY",FALSE,high,Nassau County GOP lists the Bayville/Centre Island Republican Club among its local clubs in the Town of Oyster Bay,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,586,127576,nyboe
FRANKLIN SQUARE REPUBLICAN CLUB,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,Nassau County GOP lists the Franklin Square Republican Club in the Town of Hempstead led by Edward P. Ra,https://nassaucountygop.com/local-clubs-1,web-research-2026-08-08,yes,695,126018,nyboe
GINA FOR ASSEMBLY,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Gina Sillitti is the Democrat who represented New York State Assembly District 16 in Nassau County from 2021 through 2024.,https://en.wikipedia.org/wiki/Gina_Sillitti,web-research-2026-08-08,yes,807,123980,nyboe
SALISBURY REPUBLICAN FINANCE COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Salisbury, Town of Hempstead, NY",FALSE,high,Salisbury formerly South Westbury is a hamlet in the Town of Hempstead in Nassau County and this is the fundraising arm of its Republican committee,"https://en.wikipedia.org/wiki/Salisbury,_Nassau_County,_New_York",web-research-2026-08-08,yes,857,123681,nyboe
SCHIFF FOR SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,California,FALSE,high,Adam Schiff is the Democratic junior United States senator from California seated in December 2024,https://en.wikipedia.org/wiki/Adam_Schiff,web-research-2026-08-08,yes,2046,123141,fec
TAMMY BALDWIN FOR SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Wisconsin,FALSE,high,Tammy Baldwin is the Democratic U.S. Senator from Wisconsin who took office in 2013.,https://ballotpedia.org/Tammy_Baldwin,web-research-2026-08-08,yes,783,122185,fec
