rank,committee,resolved_name,n_gifts,dollars,sources,state,cmte_tp,org_tp,connected_org,cum_pct_of_untagged,side,labor,corporate_trade,confidence,evidence,source_url,entity_type,proposed_by,reviewed
152,FRIENDS OF MANNY TROCHE,,163,24277.0,nyboe,in_master_no_party,,,,56.91,REP,false,false,high,Manny Troche was the Republican candidate for the Islip Town Council First District against Democrat Jorge Guadron,https://messengerpapers.com/2021/10/manny-troche-for-islip-town-council/,candidate,web-research-v2-pass2-2026-08-10,yes
153,C00255695,KENNEDY VICTORY FUND 2024,162,16237.0,fec,in_master_no_party,Y,,KENNEDY VICTORY FUND 2024,57.02,,false,false,high,FEC C00255695 is the Libertarian National Committee the national committee of the Libertarian Party and minor parties get no major party side under project convention,https://www.fec.gov/data/committee/C00255695/,party_committee,web-research-v2-pass2-2026-08-10,yes
154,"BROOKS-POWERS, SELVENA",,161,50635.0,nyccfb,not_in_fec_master,,,,57.12,DEM,false,false,high,Selvena Brooks-Powers is the Democratic New York City Council member for District 31 in Queens,,candidate,web-research-v2-2026-08-10,yes
155,"NARCISSE, MERCEDES",,161,36590.0,nyccfb,not_in_fec_master,,,,57.23,DEM,false,false,high,Mercedes Narcisse is the Democratic New York City Council member for District 46 in Brooklyn,,candidate,web-research-v2-2026-08-10,yes
156,DLC DELIVERING LEADERSHIP FOR CHANGE POLITICAL ACTION COMMITTEE,,158,20609.0,nyboe,in_master_no_party,,,,57.33,,false,false,low,No sponsoring organization or candidate could be identified for this political action committee so no party can be assigned,,ideological_pac,web-research-v2-pass2-2026-08-10,yes
157,C00683813,WE ARE GREAT AGAIN PAC,158,8389.0,fec,in_master_no_party,O,,NONE,57.43,REP,false,false,medium,Pro-Trump super PAC using Make America Great Again branding to support Republican candidates,https://www.fec.gov/data/committee/C00683813/,ideological_pac,web-research-v2-2026-08-10,yes
158,C00634774,COMMON SENSE FOR AMERICA PAC,157,18937.0,fec,in_master_no_party,Q,,BUDD KENNEDY MAJORITY COMMITTEE,57.54,REP,false,false,high,FEC committee C00634774 Common Sense for America PAC is the leadership PAC sponsored by Republican U.S. Senator John Neely Kennedy of Louisiana,https://www.fec.gov/data/committee/C00634774/,leadership_pac,carried-forward:committees_tagged:fecid,yes
159,FRIENDS OF TOM DONNELLY,,157,20172.0,nyboe,in_master_no_party,,,,57.64,DEM,false,false,high,Thomas Donnelly is the Democratic Suffolk County Legislator for the 17th Legislative District,https://www.longislandpress.com/2025/11/04/election-long-island-results/,candidate,web-research-v2-pass2-2026-08-10,yes
160,VIDER FOR SENATE,,156,74966.0,nyboe,in_master_no_party,,,,57.74,,false,false,low,No New York State Senate candidate named Vider could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
161,C00287003,WSP USA INC.,156,4930.0,fec,in_master_no_party,Q,C,WSP USA INC.,57.85,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
162,FRIENDS OF LAURA MAIER,,155,21183.2,nyboe,in_master_no_party,,,,57.95,,false,false,low,No New York officeholder or candidate named Laura Maier could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
163,FRIENDS OF LAURA BURNS,,155,24879.5,nyboe,in_master_no_party,,,,58.05,,false,false,low,No New York officeholder or candidate named Laura Burns could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
164,FRIENDS OF LISA LIN,,154,28027.09,nyboe,in_master_no_party,,,,58.15,DEM,false,false,high,Lisa Lin is the Democratic candidate for New York State Senate District 5 in Nassau County,https://politicsny.com/election-primer-long-island/,candidate,web-research-v2-pass2-2026-08-10,yes
165,"PALADINO, VICKIE",,154,43331.87,nyccfb,not_in_fec_master,,,,58.25,REP,false,false,high,Vickie Paladino is the Republican New York City Council member for District 19 in Queens,,candidate,web-research-v2-2026-08-10,yes
166,FRIENDS OF BEN JACKSON,,154,21880.0,nyboe,in_master_no_party,,,,58.35,,false,false,low,No New York officeholder or candidate named Ben Jackson could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
167,C00366013,"NASDAQ, INC.",152,36180.0,fec,in_master_no_party,Q,C,"NASDAQ, INC.",58.45,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
168,C90018904,THE CONSERVATIVE CAUCUS DBA AMERICANS FOR CONSTITUTIONAL LIBERTY,152,25435.0,fec,in_master_no_party,I,,,58.55,REP,false,false,high,Conservative Party of New York committee folded to REP under the project fusion convention since it cross-endorses Republican candidates,,party_committee,carried-forward:committees_tagged:resolved-fec-name,yes
169,FRIENDS OF WILL SUSSMAN,,151,29015.33,nyboe,in_master_no_party,,,,58.65,REP,false,false,high,Will Sussman is the Republican candidate for New York State Assembly District 4 in Suffolk County,https://tbrnewsmedia.com/will-sussman-announces-campaign-for-nys-assembly/,candidate,web-research-v2-pass2-2026-08-10,yes
170,FRIENDS OF MICHELE JOHNSON,,151,29296.0,nyboe,in_master_no_party,,,,58.75,,false,false,low,No New York officeholder or candidate named Michele Johnson could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
171,"ESPINAL, JR., RAFAEL",,151,9939.0,nyccfb,not_in_fec_master,,,,58.85,DEM,false,false,high,Rafael Espinal Jr is a Democrat who represented Brooklyn District 37 on the New York City Council,,candidate,web-research-v2-2026-08-10,yes
172,NORBER FOR ASSEMBLY,,151,6962.18,nyboe,in_master_no_party,,,,58.95,REP,false,false,high,Daniel Norber is the Republican candidate for New York State Assembly District 16 in Nassau County,https://politicsny.com/election-primer-long-island/,candidate,web-research-v2-pass2-2026-08-10,yes
173,CAMPAIGN 2021,,151,87595.35,nyboe,in_master_no_party,,,,59.05,,false,false,low,Committee name gives no candidate or sponsor so no party can be assigned,,other,web-research-v2-pass2-2026-08-10,yes
174,C00407635,"CONSOLIDATED EDISON, INC.",150,8046.0,fec,in_master_no_party,Q,C,"CONSOLIDATED EDISON, INC.",59.15,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
175,FRIENDS OF BROOKE LUPINACCI,,149,33185.25,nyboe,in_master_no_party,,,,59.25,REP,false,false,high,Brooke Lupinacci is a Republican Huntington town councilwoman who ran in the 2025 Republican primary for town supervisor against Ed Smyth,https://messengerpapers.com/2025/05/lupinacci-screened-with-democratic-committees-before-primary-run/,candidate,web-research-v2-pass2-2026-08-10,yes
176,FRIENDS OF KAREN DUNNE KESNIG,,149,28825.0,nyboe,in_master_no_party,,,,59.34,REP,false,false,high,Karen Dunne Kesnig is a Republican attorney from Manorville who ran for the open Brookhaven Town Council District Six seat,https://messengerpapers.com/2023/11/karen-dunne-kesnig-for-brookhaven-town-council-district-six/,candidate,web-research-v2-pass2-2026-08-10,yes
177,WAKEFIELD FOR SENATE,,148,7683.55,nyboe,in_master_no_party,,,,59.44,,false,false,low,No New York State Senate candidate named Wakefield could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
178,FRIENDS OF CATHERINE KENT,,147,18979.0,nyboe,in_master_no_party,,,,59.54,DEM,false,false,high,Catherine Kent is a Democratic former Riverhead town council member who ran for Suffolk County Legislature District 1 in 2023,https://riverheadlocal.com/?s=%22Catherine+Kent%22,candidate,web-research-v2-pass2-2026-08-10,yes
179,C00491951,NOMURA HOLDING AMERICA INC.,145,18860.0,fec,in_master_no_party,Q,C,NOMURA HOLDING AMERICA INC.,59.63,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
180,FRIENDS OF JACK HARRINGTON,,145,24423.25,nyboe,in_master_no_party,,,,59.73,DEM,false,false,high,Jack Harrington is the Stony Brook attorney who ran as the Democratic candidate for Brookhaven town supervisor against Republican Ed Romaine,https://tbrnewsmedia.com/brookhaven-supervisor-romaine-seeks-fourth-term-stony-brook-attorney-harrington/,candidate,web-research-v2-pass2-2026-08-10,yes
181,C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,145,154450.0,fec,in_master_no_party,Q,,,59.82,,false,true,high,Employee-funded PAC of the accounting firm Ernst & Young which funds incumbents of both parties for access,,corporate_pac,carried-forward:committees_tagged:resolved-fec-name,yes
182,JUDY 2026,,145,15572.0,nyboe,in_master_no_party,,,,59.92,DEM,false,false,medium,Judy Griffin is the Democratic candidate for New York State Assembly District 21 in Nassau County in the 2026 cycle,https://politicsny.com/election-primer-long-island/,candidate,web-research-v2-pass2-2026-08-10,yes
183,SMITH FOR NEW YORK,,145,31005.57,nyboe,in_master_no_party,,,,60.01,,false,false,low,Smith is too common a surname to identify the candidate so no party can be assigned,,candidate,web-research-v2-pass2-2026-08-10,yes
184,C00365122,VISA INC,144,9707.0,fec,in_master_no_party,Q,C,VISA INC,60.11,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
185,NYC PAC (NEW YORK CHIROPRACTIC POLITICAL ACTION COMMITTEE),,144,12290.0,nyboe,in_master_no_party,,,,60.2,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,carried-forward:committees_tagged:name,yes
186,LEIGH- ANN BARDE FOR SUFFOLK,,143,20130.02,nyboe,in_master_no_party,,,,60.3,DEM,false,false,high,Leigh-Ann Barde was the Democratic candidate for Suffolk County Legislature District 10,https://www.longislandpress.com/2025/11/04/election-long-island-results/,candidate,web-research-v2-pass2-2026-08-10,yes
187,VICTORIA JOHNSON FOR SENATE,,143,23555.0,nyboe,in_master_no_party,,,,60.39,,false,false,low,No New York State Senate candidate named Victoria Johnson could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
188,FRIENDS OF JOE SACKMAN,,142,11497.83,nyboe,in_master_no_party,,,,60.49,DEM,false,false,medium,Joe Sackman is co-chair of the Suffolk Working Families Party which folds to the Democratic side under project convention,https://tbrnewsmedia.com/working-families-party-accuses-republicans-of-party-raiding-in-town-of-huntington-supervisor-race/,candidate,web-research-v2-pass2-2026-08-10,yes
189,FRIENDS OF MIKE DELURY,,142,36745.0,nyboe,in_master_no_party,,,,60.58,,false,false,low,No New York officeholder or candidate named Mike Delury could be identified,,candidate,web-research-v2-pass2-2026-08-10,yes
190,C00899757,SCOTT DIGITAL VICTORY FUND,141,2580.0,fec,in_master_no_party,N,,,60.67,REP,false,false,high,Joint fundraising committee between Tim Scott for America and the National Republican Senatorial Committee,https://www.fec.gov/data/committee/C00899757/,joint_fundraising,web-research-v2-2026-08-10,yes
191,KATZ NYS (NEW YORK STATE),,141,189072.0,nyboe,in_master_no_party,,,,60.76,DEM,false,false,medium,Katz NYS is the New York State Board of Elections committee of Melinda Katz the Democratic Queens County District Attorney,https://en.wikipedia.org/wiki/2019_Queens_County_District_Attorney_election,candidate,web-research-v2-pass2-2026-08-10,yes
192,FRIENDS OF NOAH BURROUGHS,,141,14211.0,nyboe,in_master_no_party,,,,60.86,DEM,false,false,high,Noah Burroughs is the Democratic New York State Assemblymember for the 18th district in Hempstead and a Village of Hempstead trustee who raises money through ActBlue,https://ballotpedia.org/Noah_Burroughs,candidate,web-research-v2-pass2-2026-08-10,yes
193,SCHWARTZ FOR STATE SENATE,,140,48290.0,nyboe,in_master_no_party,,,,60.95,DEM,false,false,high,Brad Schwartz is the Democrat who challenged Republican state Senator Jack Martins in Nassau County's 7th Senate district,https://ballotpedia.org/Brad_Schwartz,candidate,web-research-v2-pass2-2026-08-10,yes
194,INDEPENDENCE PARTY CHAIRMAN'S CLUB,,140,34875.0,nyboe,in_master_no_party,,,,61.04,,false,false,high,Minor-party committee (Independence Libertarian Green Reform SAM or Forward) which does not fold to either major party under the project convention,,other,carried-forward:committees_tagged:name,yes
195,"QUINN, JIM",,140,23780.0,nyccfb,not_in_fec_master,,,,61.13,,false,false,low,New York City Campaign Finance Board filer whose specific Jim Quinn and party line could not be identified so no side is assigned,,candidate,web-research-v2-pass2-2026-08-10,yes
196,JAMES LYNCH FOR NY SENATE,,140,15315.0,nyboe,in_master_no_party,,,,61.23,DEM,false,false,high,Dr. James Lynch ran as the Democratic candidate for New York State Senate,https://ballotpedia.org/James_Lynch_(New_York),candidate,web-research-v2-pass2-2026-08-10,yes
197,SINGER FOR SUFFOLK,,140,20556.05,nyboe,in_master_no_party,,,,61.32,DEM,false,false,high,Janet Singer ran on the Democratic line for Suffolk County Legislature District 13 against Republican incumbent Rob Trotta,https://patch.com/new-york/smithtown/candidate-profile-janet-singer-suffolk-legislature,candidate,web-research-v2-pass2-2026-08-10,yes
198,C00130658,AMERICAN CONSERVATIVE UNION,140,24423.0,fec,in_master_no_party,I,M,AMERICAN CONSERVATIVE UNION,61.41,DEM,true,false,medium,Labor union political fund identifiable from the union name or local number and New York union funds give overwhelmingly to Democrats,,union_pac,rule-engine-v2 (labor:union-keyword),yes
199,FRIENDS OF JAY SCHNEIDERMAN,,139,58722.9,nyboe,in_master_no_party,,,,61.5,,false,false,medium,Jay Schneiderman held office as an East Hampton Republican then as an Independence Party county legislator and only later as a Southampton Democrat so this committee's fundraising years span all three lines,http://www.27east.com/news/article.cfm/General-Interest-Southampton/537421/Southampton-Town-Supervisor-Jay-Schneiderman-To-Leave-Independence-Party-Join-Democrats,candidate,carried-forward:committees_tagged:name,yes
200,NYS OPTOMETRIC ASSOC PAC,,139,8363.93,nyboe,not_in_fec_master,,,,61.59,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,rule-engine-v2 (trade_assoc:name),yes
201,FRIENDS OF SHANNON FREDERICKS,,139,22171.54,nyboe,in_master_no_party,,,,61.68,REP,false,false,high,Shannon Fredericks is the Nassau Republican Committee candidate for New York State Assembly District 14 and a staffer for the state Senate Republican Conference,https://www.legistorm.com/person/bio/509118/Shannon_R_Fredericks.html,candidate,web-research-v2-pass2-2026-08-10,yes
202,NICKS FOR NASSAU,,138,15658.5,nyboe,in_master_no_party,,,,61.77,DEM,false,false,high,Olena Nicks is the Democrat who won the Nassau County Legislature District 2 special election over Republican Karin Campbell,"https://www.liherald.com/hempstead/stories/nicks-defeats-campbell-in-special-election,213347",candidate,web-research-v2-pass2-2026-08-10,yes
203,FRIENDS OF ROBERT J. MURPHY,,137,20350.0,nyboe,in_master_no_party,,,,61.86,REP,false,false,high,Robert J Murphy ran for Superintendent of Highways in the Town of Smithtown on the Republican and Conservative lines,https://suffolkcountyny.gov/Departments/BOE/2025-General-Candidate-List,candidate,web-research-v2-pass2-2026-08-10,yes
204,FRIENDS OF TOM MUSCARELLA,,136,30650.0,nyboe,in_master_no_party,,,,61.95,REP,false,false,high,Thomas Muscarella is a Republican Town of Hempstead councilman appointed by the board's Republican majority,https://patch.com/new-york/gardencity/hempstead-town-board-appoints-new-councilman,candidate,web-research-v2-pass2-2026-08-10,yes
205,COMMITTEE TO RE-ELECT JUDGE COREY KLEIN,,136,29965.0,nyboe,in_master_no_party,,,,62.04,,false,false,medium,Corey Klein is a sitting Long Beach City Court judge who first won a Democratic primary but Nassau judicial seats are routinely cross-endorsed so no side is assigned,"https://www.liherald.com/stories/klein-wins-democratic-primary-in-race-for-city-court-judge,58350",candidate,web-research-v2-pass2-2026-08-10,yes
206,TEAM CHRISTINE,,136,33598.5,nyboe,in_master_no_party,,,,62.13,,false,false,low,Committee gives only the first name Christine and no candidate could be identified so no side is assigned,,candidate,web-research-v2-pass2-2026-08-10,yes
207,FRIENDS OF CATHERINE STARK,,135,25550.0,nyboe,in_master_no_party,,,,62.22,REP,false,false,high,Catherine Stark held Suffolk County Legislature District 1 on the Republican and Conservative lines,https://suffolkcountyny.gov/Departments/BOE/2025-General-Candidate-List,candidate,web-research-v2-pass2-2026-08-10,yes
208,FRIENDS OF RACHEL KLEIN,,135,10714.01,nyboe,in_master_no_party,,,,62.31,DEM,false,false,high,Rachel Klein was the Democratic candidate for Town of Oyster Bay Clerk against Republican Richard LaMarca,https://patch.com/new-york/plainview/north-hempstead-town-clerk-candidates-meet-rachel-klein,candidate,web-research-v2-pass2-2026-08-10,yes
209,HUNTINGTON TOWNSHIP BUSINESS COUNCIL,,135,39427.41,nyboe,in_master_no_party,,,,62.4,,false,true,medium,The Huntington Township Business Council is a local business association political fund that backs town candidates on business grounds rather than one party,,trade_assoc_pac,carried-forward:committees_tagged:name,yes
210,NATIONWIDE NEW YORK POLITICAL PARTICIPATION COMMITTEE,,133,2790.0,nyboe,in_master_no_party,,,,62.49,,false,true,medium,Nationwide Mutual Insurance Company sponsors state 'Political Participation Committee' PACs that give to both Democratic and Republican officeholders.,https://www.transparencyusa.org/oh/committee/nationwide-mutual-insurance-company-political-participation-committee-1138-pac,corporate_pac,carried-forward:committee_overrides_corrected:name,yes
211,FRIENDS OF JOHN ZOLLO,,133,12920.0,nyboe,in_master_no_party,,,,62.57,,false,false,medium,John Zollo ran for Smithtown 4th District Court judge and Suffolk judicial seats are routinely cross-endorsed by both major parties,https://tbrnewsmedia.com/paul-damato-and-john-zollo-candidates-for-smithtowns-4th-district-court-judge/,candidate,web-research-v2-pass2-2026-08-10,yes
212,C00848093,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,131,6721.0,fec,in_master_no_party,Q,W,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,62.66,,false,true,high,FEC lists C00158881 as a corporate PAC connected to New York Life Insurance Company which gives to both parties,https://www.fec.gov/data/committee/C00158881/,corporate_pac,carried-forward:committee_overrides_corrected:connected_org,yes
213,C00736637,COMMITTEE TO PROTECT HEALTH CARE PAC,130,3561.0,fec,in_master_no_party,O,,NONE,62.75,DEM,false,false,medium,Physician group organized to defend the Affordable Care Act which supports Democratic candidates,,ideological_pac,carried-forward:committees_tagged:resolved-fec-name,yes
214,C00771246,JOHNSON LEADERSHIP FUND,130,16623.0,fec,in_master_no_party,N,,NONE,62.83,,false,false,low,Surname only leadership PAC and federal officeholders named Johnson from both parties are plausible sponsors,,leadership_pac,carried-forward:committees_tagged:resolved-fec-name,yes
215,HARJOT FOR NEW YORK,,130,14408.0,nyboe,not_in_fec_master,,,,62.92,DEM,false,false,high,Harjot Singh is the Democratic candidate for New York State Senate District 2 backed by the Huntington Town Democratic Committee,https://harjotfornewyork.com/,candidate,web-research-v2-pass2-2026-08-10,yes
216,"DIAZ JR., RUBEN",,128,108800.0,nyccfb,not_in_fec_master,,,,63.0,DEM,false,false,high,Ruben Diaz Jr served as the Democratic Bronx Borough President,,candidate,web-research-v2-2026-08-10,yes
217,C00898395,THE JUSTICE PROJECT,128,1640.0,fec,in_master_no_party,N,,THE JUSTICE PROJECT,63.08,,false,false,low,Federal PAC raising small unitemized donations that reports no candidate contributions and no independent expenditures so no party can be assigned,https://www.fec.gov/data/committee/C00898395/,other,web-research-v2-pass2-2026-08-10,yes
218,"MORALES, DIANNE",,126,9033.35,nyccfb,not_in_fec_master,,,,63.17,DEM,false,false,high,Dianne Morales ran in the 2021 Democratic primary for Mayor of New York City,,candidate,web-research-v2-2026-08-10,yes
219,CAMPAIGN 2019,,126,47545.0,nyboe,in_master_no_party,,,,63.25,,false,false,low,Generic New York State committee name with no identifiable candidate or sponsor so no side is assigned,,other,web-research-v2-pass2-2026-08-10,yes
220,C00104083,RITE AID CORPORATION,125,3711.0,fec,in_master_no_party,Q,C,RITE AID CORPORATION,63.33,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
221,C00211250,AON CORPORATION,125,11866.0,fec,in_master_no_party,Q,C,AON CORPORATION,63.41,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
222,VILLACCI FOR NYS ASSEMBLY,,124,12771.13,nyboe,in_master_no_party,,,,63.5,,false,false,low,No New York State Assembly candidate named Villacci could be identified so no side is assigned,,candidate,web-research-v2-pass2-2026-08-10,yes
223,"MARK-VIVERITO, MELISSA",,123,23100.0,nyccfb,not_in_fec_master,,,,63.58,DEM,false,false,high,Melissa Mark-Viverito is a Democrat who served as Speaker of the New York City Council,,candidate,web-research-v2-2026-08-10,yes
224,FRIENDS OF JAKE SCHEINER,,122,26961.0,nyboe,in_master_no_party,,,,63.66,DEM,false,false,high,Jake Scheiner is a Nassau County Legislature candidate promoted by the Nassau County Democratic Committee,https://nassaucountydems.com/tag/jake-scheiner/,candidate,web-research-v2-pass2-2026-08-10,yes
225,"SALAMANCA, RAFAEL",,122,81412.5,nyccfb,not_in_fec_master,,,,63.74,DEM,false,false,high,Rafael Salamanca Jr is the Democratic New York City Council member for District 17 in the Bronx,,candidate,web-research-v2-2026-08-10,yes
226,"GENNARO, JAMES F",,122,21400.0,nyccfb,not_in_fec_master,,,,63.82,DEM,false,false,high,James Gennaro is the Democratic New York City Council member for District 24 in Queens,,candidate,web-research-v2-2026-08-10,yes
227,C00425470,DEMOCRATS WIN SEATS (DWS PAC),121,4375.0,fec,in_master_no_party,Q,,,63.9,DEM,false,false,high,PAC explicitly organized to elect Democratic candidates as its name states,https://www.fec.gov/data/committee/C00425470/,ideological_pac,web-research-v2-2026-08-10,yes
228,"ARIOLA, JOANN",,121,20950.0,nyccfb,not_in_fec_master,,,,63.98,REP,false,false,high,Joann Ariola is the Republican New York City Council member for District 32 and a former Queens Republican Party chair,,candidate,web-research-v2-2026-08-10,yes
229,TAXPAYERS FOR AGUIAR,,120,24176.0,nyboe,in_master_no_party,,,,64.06,REP,false,false,high,Yvette Aguiar is the Republican Riverhead Town Supervisor and this is her town campaign committee,https://riverheadlocal.com/2021/10/07/out-of-town-cash-has-aguiar-on-the-way-riverheads-top-political-fundraiser-in-recent-history/,candidate,web-research-v2-pass2-2026-08-10,yes
230,FRIENDS OF MIKE ZALESKI,,120,24810.0,nyboe,in_master_no_party,,,,64.13,REP,false,false,high,Michael Zaleski ran for Riverhead Superintendent of Highways on the Republican and Conservative lines and was promoted by the Riverhead Republicans,https://suffolkcountyny.gov/Departments/BOE/2025-General-Candidate-List,candidate,web-research-v2-pass2-2026-08-10,yes
231,C00608380,DLCC PAC,120,11202.0,fec,in_master_no_party,N,,NONE,64.21,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,carried-forward:committees_tagged:resolved-fec-name,yes
232,NPV POLITICAL ACTION COMMITTEE NPV=NELSON POPE VOORHIS,,119,71851.57,nyboe,in_master_no_party,,,,64.29,,false,true,high,Nelson Pope Voorhis is a Long Island engineering and environmental consulting firm so this is a corporate firm PAC that funds officeholders of both parties,,corporate_pac,carried-forward:committees_tagged:name,yes
233,FRIENDS OF MICHAEL GIANGREGORIO,,118,23310.0,nyboe,in_master_no_party,,,,64.37,REP,false,false,high,Michael Giangregorio holds Nassau County Legislature District 12 on the Republican and Conservative lines,https://politicsny.com/2025/10/23/election-guide-2025-nassau-county-legislature-district-12-candidate-michael-giangregorio-rep-con/,candidate,web-research-v2-pass2-2026-08-10,yes
234,"ADAMS, ADRIENNE E",,118,17195.4,nyccfb,not_in_fec_master,,,,64.45,DEM,false,false,high,Adrienne Adams is the Democratic Speaker of the New York City Council and this is the same person as the other Adrienne Adams spelling,,candidate,web-research-v2-2026-08-10,yes
235,PEOPLE FOR COMMON SENSE IN GOVERNMENT,,117,13675.0,nyboe,in_master_no_party,,,,64.52,,false,false,low,Generic good-government committee name with no identifiable sponsor or candidate so no side is assigned,,other,web-research-v2-pass2-2026-08-10,yes
236,CHRIS MURRAY FOR STATE SENATE,,117,25921.0,nyboe,in_master_no_party,,,,64.6,,false,false,low,No New York State Senate candidate named Chris Murray could be identified and the Murray surname appears in both parties,,candidate,carried-forward:committees_tagged:name,yes
237,C00000729,INDIANA DENTAL PAC,116,30353.0,fec,in_master_no_party,Q,M,INDIANA DENTAL PAC,64.68,,false,true,high,State dental association political fund which is a professional trade association PAC and not a labor union,,trade_assoc_pac,web-research-v2-2026-08-10,yes
238,C00935015,DEMOCRACY ON THE LINE,115,2092.0,fec,in_master_no_party,V,,DEMOCRACY ON THE LINE,64.75,,false,false,low,Federal hybrid PAC whose FEC filing lists no connected organization and no candidate contributions so no party can be assigned,https://www.fec.gov/data/committee/C00935015/,other,web-research-v2-pass2-2026-08-10,yes
239,C00850677,CONSERVATIVES FOR OSBORN,115,33268.0,fec,in_master_no_party,S,,CONSERVATIVES FOR OSBORN,64.83,,false,false,high,Principal campaign committee of Dan Osborn who ran for United States Senate in Nebraska as an independent so no major party side applies,https://www.fec.gov/data/committee/C00850677/,candidate,web-research-v2-pass2-2026-08-10,yes
240,"WEPRIN, DAVID I",,113,38286.0,nyccfb,not_in_fec_master,,,,64.9,DEM,false,false,high,David Weprin is a Democratic New York State Assembly member from Queens who ran in the Democratic primary for Comptroller,,candidate,web-research-v2-2026-08-10,yes
241,LARRY SHARPE FOR GOVERNOR,,113,14712.0,nyboe,in_master_no_party,,,,64.98,,false,false,high,Larry Sharpe ran for governor of New York as the Libertarian Party nominee and Libertarian does not fold to either major party in this project,,candidate,carried-forward:committees_tagged:name,yes
242,FRIENDS OF TINA POSTERLI,,111,7516.67,nyboe,in_master_no_party,,,,65.05,DEM,false,false,high,Tina Posterli is the Democratic candidate for New York State Assembly District 20 and a former Long Beach City Council candidate,https://politicsny.com/election-primer-long-island/,candidate,web-research-v2-pass2-2026-08-10,yes
243,C00248716,COMCAST CORPORATION,111,4056.0,fec,in_master_no_party,Q,C,COMCAST CORPORATION,65.12,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
244,C00493221,JACK BEGMAN,110,34566.0,fec,in_master_no_party,Q,,JACK BEGMAN,65.19,,false,false,low,Federal joint fundraising PAC named The Guardian Fund whose FEC filing shows no connected organization or party affiliation so no side is assigned,https://www.fec.gov/data/committee/C00493221/,other,web-research-v2-pass2-2026-08-10,yes
245,FRIENDS OF SAL FORMICA FOR LEGISLATOR,,109,24276.86,nyboe,in_master_no_party,,,,65.27,REP,false,false,high,Salvatore Formica won Suffolk County Legislature District 13 on the Republican and Conservative lines,https://suffolkcountyny.gov/Departments/BOE/2025-General-Candidate-List,candidate,web-research-v2-pass2-2026-08-10,yes
246,MATT CAPP FOR SENATE,,109,12683.62,nyboe,in_master_no_party,,,,65.34,,false,false,low,Matthew Capp is a New York state senate candidate whose party line could not be verified so no side is assigned,,candidate,web-research-v2-pass2-2026-08-10,yes
247,"WALDEN, JAMES",,108,60813.0,nyccfb,not_in_fec_master,,,,65.41,,false,false,high,Jim Walden ran for New York City mayor in 2025 on an independent line rather than a major party line so no side applies,,candidate,web-research-v2-pass2-2026-08-10,yes
248,C00743427,VOTERS FIRST VICTORY FUND,106,4489.0,fec,in_master_no_party,O,,NONE,65.48,,false,false,low,Independent-expenditure-only federal committee with no connected organization and no reported expenditures identifying a party so no side is assigned,https://www.fec.gov/data/committee/C00743427/,other,web-research-v2-pass2-2026-08-10,yes
249,FRIENDS OF JOE SCHRAMM,,105,17520.0,nyboe,in_master_no_party,,,,65.55,DEM,false,false,high,Joe Schramm was chosen by the Huntington Democrats for Town Board and is listed by the Suffolk County Democratic Committee,https://suffolkcountydems.com/candidate/joseph-g-schramm-jr,candidate,web-research-v2-pass2-2026-08-10,yes
